Season,Commentor,Time Commented,Comment
4,@AnjumMomin-id5az,6 months ago,Muje barsose talash thi abnormal bachoki khidmat karna unko improve karne ki khwahish thi aj apka yeh episode dekhke aisa laga ke kaash aisa maoka muje bhi mile Amen Allah bless you all
4,@yashpatil7319,7 months ago,Namita plz deal se out nahi show se out hojao
4,@varungaur9690,4 months ago,Overwhelmed for girls.. But not for blind people's pain.. Pathfetic.. Piyush hota to baat hi kuch aur hoti
4,@jaiswal_pranay,6 months ago,Namita need to learn some manners ....
4,@universemaster9889,7 months ago,Mr srikanth is daredevil without seeing but he see everything with his knowledge and wisdom
4,@2024selection,6 months ago,Aman sir literally looking handsome if we dont talk about  hairstyle  ...
4,@rustamkathat3261,7 months ago,Anupam and aman ️
4,@mihir4321,5 months ago,Jeet is THE WHALE that could eat all sharks
4,@Gauri-xe1oo,6 months ago,"""Wow, I was totally hooked from start to finish!  The way  presented their products was so creative and unique!  No wonder Namita was super impressed! Can't wait to see how their journey unfolds.  Definitely a game-changer in the art and decor space!  """
4,@vishwavishwas6611,2 months ago,Aman and anupama both they are true  sharks  love you brothers
4,@GaneshDoiphode,6 months ago,"Big Respect to u sir 
भगवान ने हमे सब देखे भी हमने क्या ऊखाडा"
4,@1rfanshaikh_1,1 month ago,Aman hairstyle like reverted muslim GenZ
4,@QUAZI__AASH__,1 month ago,Aman sirr ur hair style in this ep
4,@Gauri-xe1oo,6 months ago,"""Wow, what a pitch!  The last pitcher really brought something fresh to the table. Their passion and vision were clear, and I can totally see the potential in their idea. It’s always great to see entrepreneurs who are so determined and ready to make a change. Hope they get the backing they deserve!  """
4,@slayer55556,4 months ago,Is this ashish Solanki?
4,@Newswale05,2 months ago,Expertise
4,@shashankpurohit,5 months ago,stil not improved bhai Srikanth laga dete
4,@FarhanRaza-r6i,4 months ago,Best Episode ever.
4,@sushantabiswal1644,3 months ago,Anupam sir best hain.
4,@PeaceMaker_1997,7 months ago,Bring Vivek Oberoi to Shark Tank
4,@rockinsashna,7 months ago,PR epiode of Adani
4,@bloxyyboi,2 months ago,TRULY-AN-HONOUR-FOR-SHARK-TANK-TOO-HAVE-MR-SRIKANTH-i-coukdnt-imagaine-living-a-day-without-my-eyes-he-conquered-the-world-even-without-them-truly-amazing-and-wonderful-my-deepest-respect
4,@Gauri-xe1oo,6 months ago,"""Honestly,  totally nailed it!  But that moment with the bionic hand? Not the right fit for them, IMO. Sometimes it’s not just about the tech, but how well it fits with the brand. Still, really excited to see what they’ll do next!  """
4,@Rockycooldude,7 months ago,namita ko nikalo yaar show see
4,@dhananjyarai7226,3 weeks ago,Great deal
4,@axlamazingxpressltdtruckin5917,3 weeks ago,good
4,@ashwina1470,7 months ago,Aman Aman Aman…..y……
4,@SatendraSingh-u9r,6 months ago,Aur 1 chiz to koi notice hi nahi kea jiske karan hm comment section me aae the .ki acha h kisi ka v respect krna unko value dena pr anupam 2 bar jeet se aise mil rhe the jaise ki unke sir ya owner h jeet respect krna chae hm v krte h bda aur chota 2 logo ka pr aise v nahi ki unka gulam jaise ki aae to bs khade hokr daud jae .qki unke alwa 4 aur v sharks the srikant g to chale nahi uthe pr Namita kuch jyada hi rude jaise lagi ki thik h anupam jaise nahi krna tha pr itna v nahi ki jb wo milne aae to apni chair se uthna v nahi .baki 2 thik the ki ha aae h to milna h bat chit krna h unke sath . hmko yahi lga bs
4,@audumbargawali7160,4 months ago,nice one
4,@yashvishah4702,5 months ago,"idky I don't like Shrikant here in SharkTank. He talks so rudely and without any empathy. Honestly, out of all sharks he seemed to be the most concerned about business model, money etc"
4,@ravendrasingh6269,2 months ago,Aloo khaoge
4,@Kunvarnaama,5 months ago,"उद्देश्य कुछ भी हो अदानी ग्रुप का, परन्तु परिणाम व प्रभाव सकारात्मक है"
4,@Dancqirudbsnrjfb,5 months ago,adani is also a writer now......
4,@ea3_4.1,3 months ago,sach baat hai kyo koi shanti se rahe sukoon se rahe.  Ye bollywoodiya jehar aur gandh unko bhi to milna chahiye.. unke saaf maan ko bhi to polute krna chahiye.. i totally agree. Kitni kamal ka content ban rha hai aajkal. Thoda zehar to unko bhi chaihiye..
4,@AbhishekDubey-j9p,1 month ago,यमन का हेयर स्टाइल सलमान खानजैसा क्यों है
4,@moh3242,7 months ago,# Bring Vivek Oberoi Sir To Shark tank.....
4,@ItzYash575,6 months ago,Arey bhai yeh Aman ke baal ko kya hua
4,@AseemAggawral,1 month ago,"Mukesh Ambani spend cores on bollywood and even increment the jio bill. On other hand Andani donated and do not choose luxury wedding.
This show two complete opposite contrast of human behaviour. Later is always good for the society"
4,@bagadbilla_bandar,3 months ago,Amar ko chhapri bana diya ye kaun sa hair style hai yaar
4,@chetanmurarka4850,7 months ago,"Nothing wrong.. everyone promotes themselves.. then y not this fellow.. 
i sensed arrogance in the episode by shark.. shows what kind of leader one is.. not a good 1. 
If he is doing ket him do.. do what u can, help what u can, contribute what you can."
4,@YashdipSalvi,7 months ago,Ab adani farma ki ma ben ek kar denga
4,@Shabnumiqbal-ln5sl,2 days ago,blind shark is so over confident
4,@GiriT10939,7 months ago (edited),"The blind shark, Mr. Srikanth Bolla is a much better “mentor” than Adani ka PR putr"
4,@pinkydavid7761,4 months ago,I hope Adani will stop smuggling  drugs thorough their ports
4,@hashtagOOTD,6 months ago,"Dear Aman, pls fire your hair stylist"
4,@kiminthemix4251,6 months ago,India ka yahi problem hai.. Imotional card khelo..aur views kamao..looks very cheap
4,@Ghost-Haunted-1,7 months ago,I am Shak tank new founder
4,@pinkydavid7761,4 months ago,I am out
4,@waytt6,4 weeks ago,They have no shame calling scammer in the shark tank india
4,@pinkydavid7761,4 months ago,I am upset that shark tank India supporting  wrong people who are against india
4,@iskgameingfreefireofficial5976,12 days ago,E kana shak ko q liya laar har jaiga me ungli karna hai dekhai nehi deta hai ungli idhar udhar ghusa deta hai.
4,@mohammadshakil7495,3 months ago,ASHNIR k bina adhure sharks
4,@peytonyeh,3 months ago,Baaaaad drawer
4,@prajju4227,6 months ago,Namitha ki arrogance dekho
4,@soulshroud9815,4 months ago,Aman looking chapri
4,@myrealstoryPS,6 months ago,"Hello Shark  investment 1cr to5,cr 60 to 80  benifit parsenthamari Kam he banjar Jamin ko Hari Ali me badna be Ghar ko Ghar dilana jorut mondoki jitna hopae modat karanaa Naa ham All line me atehe Naa off'line me"
5,@kaustuvghosh2209,5 months ago,No Narayan Murthy was hurt in this video
5,@Aditya_Talla,5 months ago,"this creativity stunt shows the confidence of the sharks!!! to those who still crave for 9-5, this sarcasm will hit hard"
5,@karoldbritto5199,5 months ago,The most creative and awesome add i saw in the era of boring and irritating ads .
5,@global365.,5 months ago,"L&T's S. N. Subrahmanyan 
AM Naik
Amit Chadha
all are in this league"
5,@X2beta2,5 months ago,Shark tank cooked with this ad
5,@joshjohnson-k9b,5 months ago,What an AD yaar hats off!
5,@vancityakash,5 months ago,Naryan Murthy wants to know your location
5,@himanshu_babbar,4 months ago,"That kaana Billionare after watching this 
Mujhe kyu toda"
5,@Aman-3452,4 months ago (edited),"One of best Ads I have ever seen in my entire life.


This video deserves atleast 100 Million Views."
5,@rahulagawane3489,5 months ago,Writer of this commercial need a raise also great job hats off.
5,@Dogeshbhai_161,3 months ago,Rest in P.P.T
5,@ManavDhakar,4 months ago,"Sony Entertainment television or Sony LIV 


Ab aaya na line pe"
5,@CentreForPranicHealing,5 months ago,Narayan Murthy must be getting goosebumps. The L&T CEO must be upset that they are only advocating for a 70 hour workday.
5,@OG-VeVi,4 months ago,this confidence comes after hosting 4 successful seasons
5,@rahulmittra6592,5 months ago,I Loved playing Raghuveer Mehra in this brilliant TVC
5,@prashantpandey4518,5 months ago,When imperial blue writer meet fevicol ad team then this types of advertisement comes
5,@suranjan.,5 months ago,"Brilliant, I never seen before such advertisement !!"
5,@bhaveysingh6303,5 months ago,Thats really something which entertained me quite impactfully.
5,@cannot-handle1,4 months ago,Best ad i ever seen in my life
5,@Gauravjangid95,5 months ago,"Advertisement on it peak 
Sony cooked with this"
5,@Shubham-mu5ud,1 month ago,Is this tanmay bhat's idea or vishal
5,@Plus_infinity,4 months ago,They really cooked a nice meal with the use of Reverse Psychology
5,@fakeinsaan-v7q,4 months ago,I am 17 open own computer institute still small but my own and sell computer to students just thx to shark tank i feel so motivated to see new startup on Shark tank
5,@ProvenAssetsGroup,5 months ago,"""Take a minute. Watch this. Sometimes, that’s all it takes to shift your mindset."""
5,@ayan.debnath,5 months ago,I never dreamed that I will share a ad video!
5,@vinodmathad,5 months ago,A great ad after decades of
5,@sadikaiden9032,5 months ago,Next level roast!!!
5,@Its_Me_Parzival....,4 months ago,"After A Long Time 
Kisi Ne To Kuch Kaha Corporate Employees K Liye 
And Hat's Off For Creativity"
5,@umeshmakode5309,4 months ago,The best advertisement I have ever seen in my life.
5,@Yogesh6174.,4 months ago,"Shark tank intro ️ 
Motivational video ️"
5,@schizopandit,5 months ago,never seen such a good AD in bharat's history
5,@Tornaproductionofficial,5 months ago,"That’s exactly what we believe in too you need to have an entrepreneurial mindset and build something of your own.
With that same belief, we started Torna, our own video production business."
5,@XJacktheripperX,5 months ago,This needs more reach…. Masterpiece
5,@ayan.debnath,5 months ago,1st time - Thank you Google Ad system
5,@shivamjha44456,4 months ago,Negative marketing ka kaafi aacha examples dekhne ko mila
5,@newbhajansangamofficial368,4 months ago,Reality of employees
5,@ScaleBiz-bj2bu,4 months ago,Marketing team needs a raise. Or maybe less work hours
5,@chikku-111,5 months ago,Tanmay Bhai OP
5,@AnishShinde-v6f,4 months ago,Such a creative Ad hehe
5,@PrabhasSinghOfficial,5 months ago,Bro voice behind that man I just love it
5,@VivekSale-db6bo,4 months ago,I actually show this ad somewhere else and did't belive to be true so I searched for it and after watching it on STI channel I'm like.......... Sony got too much confidence to upload this ad. But truly speaking the ad is just too good and funny
5,@Mohd_Arsh786,4 months ago,This is the ad I wanted to watch
5,@ezazchowdhury56,4 months ago (edited),Can we take a moment to praise the Person for this idea!
5,@imgauravtiwari,4 months ago,Creativity level at the peak
5,@yourname____,4 months ago,Sir se chat gayab  was epic
5,@anurag_rathore1,5 months ago,One of the best ad ever
5,@prasantabehera433,5 months ago,Dil jit liya
5,@9ihalraza,5 months ago,best ad i ever seen
5,@ArvKumarArya,5 months ago (edited),aaise mt bolo varna sach mein koi nhi aaiyega !!
5,@Valen_Darkmoor,13 days ago,Really a great one
5,@dipudas7024,4 months ago (edited),Best creative and out of the box ad from sony I think this is the first one from them they didn't followed the trend
5,@bhabanisankarsahoo2226,5 months ago,all software engineer realize .
5,@labradorbruno14,4 months ago,Hats offf to marketing team
5,@drishyaeyecare1102,5 months ago,Wow what an amazing ad !!  Superb
5,@NobodyLOL10,4 months ago,My god this is peak creativity
5,@ronalds271,4 months ago,One of the most creative and interesting ad.  It will be remembered and replayed for years to come.
5,@Yogesh6174.,4 months ago,Creativity on peak
5,@श्रीसतेंद्र,4 months ago,next level creativity
5,@GrowtHustler,4 months ago,Cooked!
5,@ankitrajdwivedi996,4 months ago,Next level ad
5,@Pratham-ky6iz,4 months ago,One of the best advertisement
5,@theabhishekmittal,4 months ago,Creativity at its peak
5,@baymax1385,5 months ago,Such ad is like those in the 90s
5,@mikey-zz4pg,4 months ago,doesn't see this kind of Masterpiece
5,@AjKingdom-mn5lq,4 months ago,Shark tank became sarcastic
5,@letsmake-TheChoice,4 months ago,"Ye jo sharks banenge wo bhi pane under 10 logo ko kaam par rakhenge, or apna business badhayenge."
5,@ThatsGyanOfficial,4 months ago,i can watch this all day
5,@ytaham.4,4 months ago,The creativity level
5,@flysolo7089,4 days ago,Best ad ever !!!
5,@ashitoshphalake4546,5 months ago (edited),"Hi shark tank india, your advertisement is very nice  thanks for speaking out"
5,@sanskarkhandelwal,4 months ago,"Now this is some peak content,  Hats off Sony Tv"
5,@prathameshgulavani90,4 months ago,This was Namita’s take on 70 hrs work culture..she raised a voice.. and shark tank took inspiration and made an ad..such a smart move
5,@dunbaski,4 months ago,First Dream 11 And The Now Shark Tank. Who is making this ads idea. So creative
5,@bimalabhattarai8002,4 months ago (edited),Ngl the most perfect add ever
5,@smrofficial620,5 months ago,Keval idea pr apply kar sakte hai kya sarks se paise lekar business start karta
5,@Nahnori,4 months ago,"Loolll
Loving the fun element in ads aajkal"
5,@vineetsingh3258,4 months ago (edited),Iron Man : Gaddari Karbe Jarvis
5,@ApoorvAwasthi-i4x,5 months ago (edited),Most funny and creative ad in years
5,@ShriSanjay,4 months ago,ऐसे Ad बनने चाहिए तो लोग Ad खुद से देखेंगे
5,@RealHumour,4 months ago,Voice Over By BiggBoss
5,@Utkarsh-o9q,4 months ago,All in all this is now AIB has changed the indian entertainment mania
5,@mercury1695,4 months ago,Commenting to help this video reach in everyone's recommendations section
5,@abhishekgoswami69,4 months ago,Ye awaj Bigg Boss ka ku lagg raha tha
5,@abhishekprajapati3554,4 months ago,This ad must must be viral
5,@tahura6017,4 months ago,Best add seen in a while
5,@mr.kapasi1513,4 months ago,Finally shark tank is back on TV.
5,@hasithag3472,4 months ago,"nice reverse psychology, sony!"
5,@SunilSharma-jt4qw,4 months ago (edited),Honest Shark Tank
5,@pulkitchhabra6,4 months ago,Looks like the ad has been written by Tanmay Bhatt and gang.
5,@m2malay49,4 months ago,Extraordinary
5,@chotipencil,4 months ago,Highest registration on your way Sharks. Brilliant
5,@vineetsingh3918,3 months ago,Clever
5,@mindit98,2 weeks ago,"But again this is advertisement only, employees keep forced to work hard, 10-12 hrs is normal and voluntarily resignation is new norm if any cost damage occurs.... Mostly jobs are not for employee centric, doens't matter it gets lakhs  of GPTW."
5,@Azad-e-Balochistan,4 months ago,Let's go
5,@sanketdesai55,5 months ago,"Common India let's ""Startup""."
5,@TroveTrails,4 months ago,Creative and awesome add . Got goosebumps watching this.
5,@HariomYadav-js3qi,4 months ago,Narayana Murthy
5,@AnimeStores-j8h,4 months ago,Lvl
5,@srilata2070,2 months ago,"This is a superb and meaningful ad that genuinely raises public awareness, unlike the rest, which merely try to mislead."
5,@Quizlytics-ok,4 months ago (edited),Oh my God . Kya sarcasm hai.....
5,@aakashgupta_ag,4 months ago,Nailed it
5,@Yogesh6174.,4 months ago,Creativity
5,@JatinSayss.,4 months ago,Pls this time on television as well as ott ! Plssssss
5,@ayushhhhh1133,5 months ago,cool
5,@AmitRaj-em9sv,4 months ago,Rest in ppt
5,@vinaynagia3570,4 months ago,below the belt hit
5,@adityarajpal-hg5xc,4 months ago,No bawesh aggarwal harmed in this video
5,@amitclasher,5 months ago,W  Advertisement
5,@DevAnand-h5b,4 months ago,Crazyyyyyyy......
5,@satyanarayanpati7634,5 months ago,Ad marketing at its very very best
5,@krishnarakhunde815,4 months ago,150 crore paint house got me
5,@Focused187,4 months ago,Most interesting ads
5,@raghavtrehan2534,4 months ago,Mannn this is sooooo goooddddddd!!
5,@VasudevShuklaMG,5 months ago,Aakhir kahna kya chahte ho registration are open but not registered
5,@VivekMehndi,4 months ago,Mai bhi aa rha hu
5,@debarghyachakrabarti9868,4 months ago,Dude ️
5,@deshanashakya2138,4 months ago,Interesting commercial. Enjoyed watching it
5,@LakshyaParmar-o8i,4 months ago,The creativity
5,@nakulsj,5 months ago,Rest in PPT.. very well made
5,@SOMEON-v9p,4 months ago,narayana Murthy
5,@akshatgupta7105,4 months ago,Bestttt
5,@yourname____,4 months ago,This add is soo good still less views let's viral it by sharing
5,@prateekydv07,5 months ago,Add writer
5,@shubhamhhhhhh,4 months ago,Really liked it
5,@VIPERFUTURE,4 months ago,Awesome
5,@sachinkhamitkar6433,5 months ago,Kadak kadak kadak
5,@nickecho,4 months ago,"They challenged me not to register, now I'll register for it."
5,@fitnessfreaksumit,5 months ago,First time in india
5,@nicks6766,5 months ago,Brilliant
5,@gauravpoudel912,4 months ago,Bigg Boss ka voice
5,@04dotprvi,4 months ago,Where is k kirthivasan for reducing the bench time but still have 90 days notice period
5,@Tejnarayanshah01,4 months ago,BIG BOSS VOICE
5,@Sensisuiiiiii6264,4 months ago,Big boss ki awaaj
5,@iUtkarshBarnwal,4 months ago,"Agar har Teacher principal banega to padhayega kon?


Agar Har lawyer Judge banega to case ladega kon?


Aakhir jo start-up kholega use bhi to Employees chaiye honge, kahi wo employees naye startup kholne chale gaye to?"
5,@shreyashdeepjain6301,4 months ago,"Registrations are open, but don't register"
5,@aadityasingh9284,4 months ago,"Bhavish aggarwal has been very quiet since this dropped. He's the one who says ""Saturday and Sunday is not an Indian thing it's a western thing"""
5,@holodis,4 months ago,bro they choose violence ️
5,@Deski-r7p,4 months ago,I likes first ad in my entire life
5,@ZapZapTV123,4 months ago,50hrs per wk should be maximum (lunch time included)
5,@KKvision4u,4 months ago,Bigboss ka voice over accha laga
5,@plantwoman963,5 months ago,What an ad
5,@sravanisangam,4 months ago,No Vijaya Malaya was hurt in this!
5,@Info_PB,4 months ago,Wow! Hats off to the creativity of the ad makers ️
5,@subhamoychanda3044,4 months ago,absolute banger
5,@ArunKumre-s3o,5 months ago,Best ad
5,@deepulim,4 months ago,What a creation  Jai ho @SharkTankIndia
5,@PrimeSpark-o,4 months ago,Wow so creative
5,@barshanpanja4027,4 months ago,Ohhh My God This is Crazy
5,@sukhdevsharma4211,4 months ago,Great add
5,@futureorieantedgains,4 months ago,This ad should reach 9 billion people living in the world
5,@akgamer500,5 months ago,Now Roast to old school business
5,@ankan9690,4 months ago,Damn
5,@ApekshitRajSingh,4 months ago,Brilliant ad! but someone had to work 70 hours to edit this!
5,@Navratrispecails,4 months ago,"Bhai Shark tank ka Promtion kar rhe ya 
Shark tank ka bhattha baitha rhw ...kya matlab hai ki registarion na karein"
5,@imtiazhalder,5 months ago,Aisa kuch bohat din baad dekha. Really amazing 9-5 gulamo ko bohat hit hua hoga
5,@AbirPalDev,5 months ago,No Narayan murthy harmed in this video
5,@Philip_Arrow,4 months ago,Really a creative ad
5,@CinemaStatINDIA,4 months ago,Bring this season ASHNEER GROVER please
5,@harshthekadi-p4p,5 months ago,Loved it..
5,@MajitechnicalAi123,4 months ago,Marking skills on peak
5,@adityathaware1909,4 months ago,Samay Raina Technique
5,@vivekjaiswal0404,4 months ago,"Why so less view, bcoz employees are busy 9-5"
5,@SapphireTvYt,5 months ago,Ye kya bawal bana diye ho be
5,@navneetbaghel7716,5 months ago,Amazing
5,@toto_2k23,5 months ago,Soft spot targeted
5,@LORDITACHI24,4 months ago,Hahahaha absolutely magnificent
5,@MEDANPAWAN,4 months ago,Big boss sound
5,@GAUTAMBARMAN-y5n,4 months ago,Oh shit
5,@HiraShaibalReal,5 months ago,Beautifully done!
5,@jamiatahlehadeesofficialhydsec,5 months ago,"At the end saying don't register is too much 
That will affect the outcome"
5,@Theunfilteredyogi,5 months ago,Are bhyiii
5,@LoveU-j7r,4 months ago,Narayan Murthy ki to le liye guru
5,@Kittycatty7,4 months ago,Remive Chinese aman plss
5,@rakibulhasan1413,5 months ago,Awesome
5,@gamingslayer.,5 months ago,So so sick ad this time
5,@devdesai4101,4 months ago,मेने अब तक का रचतमक ऐड देखा भाईसाहब
5,@yusufshaikh7568,4 months ago,No Narayana Murthy Was Harmed In This Video
5,@Sadhosh,5 months ago,brilliant ad. reverse psychology!
5,@mrjack4000,5 months ago,Superb
5,@gauravdey6299,4 months ago,Cr boss will make millionaire and we are poor and poor
5,@Middle2Millions,5 months ago,Hello sir can you hear me at the grave - stuck hard
5,@ishu_.07,4 months ago,Best ad
5,@ankursharma3280,2 months ago,Hahaha
5,@rabbanisheikh3304,2 months ago (edited),Based on True Story.. L&T & Infosys
5,@PawanBhadanawithStudentEkta,3 months ago,Last date of registration
5,@SalinSharma-y9z,5 months ago,Slapped so hard!
5,@LakshitChaplot,4 months ago,Jisne bhi yeh add banaya hoga woh bahut jyada frustrated hoga pakka
5,@RaviKumar-bs6yx,4 months ago,"Kya ad mara hai , logo ko ungli karo bus taki tumhara dhanda chalte rhe"
5,@faisalshaikh_dir,4 months ago,"Wow DO NOT APPLE  


Presented for Dedicated Workcoholic!!"
5,@Sohil601,5 months ago,Amazing AD
5,@arkangel8380,5 months ago,Next applicant: Narayan Murthy
5,@heisenberg213,5 months ago,Cook
5,@adarsh946,5 months ago,@tanmaybhatt nailed it
5,@ArunKumre-s3o,5 months ago,Best ad i ever seen  🫶
5,@johnalmeida1483,4 months ago,Awesome
5,@AmitKumarAlphaX,4 months ago,Awesome
5,@meditationsmoothmusic2977,5 months ago,Bigg Boss voice
5,@jamesknight01s,4 months ago,Register karu ya na karu
5,@Junctionbox-we8bi,4 months ago (edited),Bro they cooked Ad of the year
5,@axoboy,5 months ago,WTF Slapping but working overtime not resolved by L&E
5,@SayanMajumder-g8x,4 months ago,Shark tank also know how to play
5,@aboi9865,5 months ago,So are they capitalists or not?
5,@JatinSayss.,4 months ago,It comes on TV or OTT ?
5,@gaurabmahanta2511,4 months ago,Troll karne ka style thoda casual hain...
5,@Dream2Startup-u3s,4 months ago,Kay hi rost kiya hai aap ne
5,@Sangeetasharma-t8e,5 months ago,Gajab add
5,@shivaandtyler,4 months ago,"The opening line is pure cringe. 
The rest of the ad is pure genius."
5,@shivangvyas886,5 months ago,Level Up ️️️
5,@deep15399,5 months ago,Bina dekhe bol rha hu... Ye sayad Tanmay Bhat ke karm kaand hain
5,@Rememberingpast,4 months ago,Asheer sir hain ya nahi ?
5,@aj-bg5,4 months ago (edited),"100k is very less 
By the way sony is the biggest risk taker when they had the rights of ipl , it used to hit different also they are the only one who launched full fledged comedy channel sab their ott platform also has good quality I agree with this strategy they will never be bigger than star in india but their range of shows  is the best in india"
5,@Work-k7i,4 months ago,Do not apply why?
5,@OmgIsThatDave,5 months ago,"Please give me start up idea. So, I  can apply for Shark Tank and leave my 6-3 job."
5,@Sattvikspirit,4 months ago,Yeh kya hai bhai
5,@GharKiKhetiHindi,5 months ago,Bahut hard
5,@afzynn,5 months ago,Mashallah
5,@Hashasino,4 months ago,Peak
5,@avinashpawar51,4 months ago,Hilarious  and sadly its really
5,@dmforcode,5 months ago,70 hours
5,@analyscience,4 months ago,ye toh tana maar rahe hai sarkar ko
5,@royalmusic12928,4 months ago,Kuch samaj me nahi aaya bhai kehana kya chahate ho?
5,@amitgharami9540,4 months ago,What an add
5,@zuberkhan3754,4 months ago,"समय रैना की कॉपी कर रहे है 
ये वहीं है जो मूवी मै भी ब्रांड का नाम ब्लर कर देते थे"
5,@SheenDigital,4 months ago,Ab is AD ka kia matlab he. Job karain ya Shark Tank India me Businness Man banane ke lie apply karain. badi confusion ho gayi yaar
5,@Akash-y3l7e,4 months ago,W script from a tv channel..
5,@bong....uronchondi329,4 months ago,I will not
5,@aakash3651,4 months ago,People writing comments are working for billionaire
5,@sonukumar-kh3xg,5 months ago,ग़ज़ब
5,@mysterylearner6346,4 months ago,mujhe apne  ke liye 10 lakh chahiye luxury expression & wealth holder service provider company h.... koi partner banega
5,@GuidingHandsConsultancy,4 months ago,Wapis Sony channel pe aana hi pada
5,@yashtech4261,4 months ago,Haha
5,@DarkFire-f4h,4 months ago,Why Shark uploading this type of content
5,@BLOODLINEYT-yy6xv,3 months ago,Matlab gulam banaane ki puri tyari chal rahi hai
5,@aayushmankatiyar5862,4 months ago,Communism hi apna lo
5,@RobertShresthawolf,5 months ago,moonshot did it again
5,@sandipan_06,4 months ago,not recommended for 9 to 5 job dwellers
5,@vikrantvinkare,4 months ago,BC
5,@দূরন্তপথিক-থ২ল,5 months ago,Please bring back ashneer
5,@KroverBangla,4 months ago,Hats off to PR team
5,@nitesh8604,4 months ago,"As if shark tank has given some out of box companies 


Bas chipa , ice cream , chocolate...isi ko toh funding dete hai"
5,@AmitKumar-fi5yt,5 months ago,Sar se chhat chin gayi
5,@bfm-bhaisaabfilmsmusic,4 months ago (edited),Registration are open but dont register
5,@shivamjha9591,4 months ago,"Advertise 
Reality"
5,@cyber_vortex99,5 months ago,"We don't want namita in shark tank, cause she always says ""I am out"""
5,@kiran5143,5 months ago,Sarcastic
5,@Oneminvisit,4 months ago,Rest in PPT
5,@suvojitmandal6117,5 months ago,Sach me 70 ghante kaam na krne baith jaye log
5,@AnujThakur-ht7ht,5 months ago,Shark tank got latent
5,@writtenmoviereviews,4 months ago,Bigg boss se dubb kraya
5,@LakshitChaplot,4 months ago,This is called Negative Marketing
5,@MHMARATHIGAMER,5 months ago,Pehele khud ka business start mar loo  fir registered karunga
5,@Okz-l6c,4 months ago,muskesh Adani Adar poonawala mittal birla godrej etc
5,@electroboost999,4 months ago,Not interested
5,@HelloCinemaAB,5 months ago,Registrations are open but dont register
5,@Horror_Treasure,5 months ago,Vote for Ashneer Grover
5,@ranjingundu8065,5 months ago,Mind-blowing ad.
5,@tejassen4410,4 months ago,"Irony? Everyone wants life like them. Sabko luxury cars chaiye, sabko multinational company ka owner banna he aur insta par luxury lifestyle flex karna he. Aur un logo ko galat bolke hansa he. Ab aur kuch bolunga ko vivad hojayeg"
5,@SaritaKumari-k1d7p,4 months ago (edited),What about AI replacing all employers and yet business keeps running? This add has loopholes...As these ceos will not worry anymore for having no human employees
5,@arvindgupta_ji,4 months ago,Your stunt has been failed.
5,@RajGupta-hl2yg,5 months ago,Bhai kaam jada karne me dikat nai hai par paisa bhii to do uska
5,@abrarmullan1,5 months ago (edited),Irony that Sharks are also one of them billionaires.
5,@codemodeon6755,5 months ago,where is the registration link
5,@pankajmathuria8373,5 months ago,Slap to labour culture
5,@yashmalhotra9,4 months ago,What an Anti-Ad!
5,@piyushpati7319,4 months ago,"So, copycat shark tank plagiarised ""don't apply"" from Anduril industries"
5,@Crazy22-g2r,4 months ago,Master piece modi ji should promote this video
5,@jyotish--das,4 months ago,After becoming arabpati leave india
5,@venktesh6600,5 months ago,"Great ad, but total ""Genuineness"" comes to the show if you are able bring Ashneer Grover back."
5,@berlin8539,4 months ago,"Remove Aman Gupta.. over confident Most egoistic arrogant shark..
Then namita thapar who have just inherited the business of her father she even dont know how to make a buisness.."
5,@falakbhardwaj01,4 months ago,Instagram se dekh ker kon kon Ayaa
5,@sushmitakumari3804,4 months ago,Kya nautanki hai
5,@FforfreeNet,5 months ago,"Shame on  and  who were trained to built business, but work like slaves for there MNC bosses"
5,@cookingdriver987,5 months ago (edited),"but isn't  that a paradox, once we start our business we will want our employees to work overtime and the cycle will continue and then they will quit and we will become sad like the bosses shown here. lol.
Best is to become self sufficient. I know , yes not possible practically, but ideal solution is to , i repeat ideal solution is to .................................................................................( share your ideas guys  in the reply  section if  this comment  catches your eye)"
5,@BikeWari,5 months ago,"Every Pan thela, Kulfi wala, Chai wala is now calling themselves a START UP BUSINESS... Stop fooling people. Its a business for investors.. If you think you are out of slavery of bosses then hat's off to you because you are now going to fall in to Slavery of Investors"
